sample_id,total_predicted_mutations,total_reads,num_contigs,avg_coverage_longest_contig,snp_synonymous,large_deletion,small_indel,snp_nonsynonymous,snp_intergenic,large_insertion,large_substitution,snp_nonsense,snp_noncoding,snp_nonsynonymous|synonymous,snp_synonymous|nonsynonymous,snp_nonsynonymous|nonsynonymous,snp_nonsense|nonsynonymous,snp_synonymous|synonymous,snp_nonsense|synonymous,lineage,% match,sourmash_res_unknown_col,Manual Check if needed
rsphaer,26,5188604,7,160.6324,4.0,,12.0,10.0,,,,,,,,,,,,Rhodobacter sphaeroides strain MBTLJ-13 chromosome 1,98.2,NZ_CP015210.1,
dss-3,43,3711330,2,121.1209,1.0,1.0,30.0,10.0,1.0,,,,,,,,,,,Ruegeria pomeroyi DSS-3,99.5,,
kuro,17,497309,16,17.12473,2.0,,,2.0,12.0,,,,1.0,,,,,,,,,,
relong,520,4798903,1,193.9489,,,511.0,7.0,2.0,,,,,,,,,,,,,,
exig,10,267995,3,13.17315,,1.0,7.0,2.0,,,,,,,,,,,,,,,
sflavi,6,590848,1,26.19611,,,5.0,1.0,,,,,,,,,,,,Aureimonas sp. AU20 plasmid pAU20rrn,88.8,Sourmash Fail,"*FastANI to Ref genome 266812.6; SMY4 is 99.998%, ok"
bs11,170,1499295,1,52.09944,12.0,3.0,69.0,59.0,24.0,,,2.0,1.0,,,,,,,Alteromonas macleodii str. ‘Black Sea 11,97.2,,
serr,30,6082891,1,190.5007,8.0,,5.0,5.0,11.0,,1.0,,,,,,,,,Serratia sp. ATCC 39006 ctg1,96.2,,
pr1red,71,11011801,1,350.7366,8.0,,54.0,5.0,1.0,,,,3.0,,,,,,,Algoriphagus sp. PR1 chromosome,100.0,NZ_CM001023.1,
vcamp,339,884338,3,22.4445,16.0,,238.0,48.0,37.0,,,,,,,,,,,Vibrio harveyi ATCC BAA-1116 chromosome I,97.9,,
hot1a3,149,12451147,2,398.7217,,,137.0,2.0,10.0,,,,,,,,,,,Alteromonas macleodii strain HOT1A3,99.8,,*Contig 2 plasmid is same
phalo,179,734353,2,28.41301,27.0,,50.0,80.0,20.0,2.0,,,,,,,,,,Pelagibacterium halotolerans B2 plasmid pPHB2,100.0,,
atcc27126,332,5820114,1,193.592,66.0,1.0,177.0,44.0,33.0,4.0,,1.0,,3.0,2.0,1.0,,,,Alteromonas macleodii ATCC 27126,100.0,NC_018632.1,
cstat,3,3763454,2,200.2111,,,,1.0,2.0,,,,,,,,,,,Corynebacterium stationis strain 622=DSM 20302,99.9,,
parctic,111,15112685,81,379.4068,16.0,5.0,29.0,10.0,49.0,,1.0,,1.0,,,,,,,Psychromonas arctica DSM 14288 H592DRAFT_scaffold00001.1_C,100.0,NZ_AXWP01000001.1,
aalgi,217,7116140,2,185.1943,48.0,,8.0,121.0,25.0,,,15.0,,,,,,,,Arenibacter algicola strain TG409,97.39,,
pinhib,1,760988,4,27.84492,,,1.0,,,,,,,,,,,,,Phaeobacter inhibens DSM 17395,99.5,,
shewden,5,1140444,1,3.141125,,,1.0,,4.0,,,,,,,,,,,Ponticaulis koreensis DSM 19734 G523DRAFT_scaffold00001.1_C,95.8,,TUBE SWAP?
kordia,150,6621434,1,205.066,8.0,,105.0,19.0,15.0,,2.0,1.0,,,,,,,,Kordia algicida OT-1 1103813601120 genomic scaffold,100.0,,
de1,37529,1193600,2,40.18863,25282.0,20.0,2004.0,6187.0,3984.0,2.0,6.0,21.0,7.0,5.0,6.0,2.0,1.0,1.0,1.0,Alteromonas macleodii str. ‘Deep ecotype’,100.0,NC_011138.3,mediteranea is the newer name https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1004786
eryth,8,1449799,4,29.36821,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,Rhodococcus erythropolis PR4 DNA,97.4,,
crono,1,4719807,1,162.1272,,,1.0,,,,,,,,,,,,,Cronobacter universalis NCTC 9529,97.6,NZ_CP012257.1,
owen,6,12748659,1,486.5309,3.0,,2.0,1.0,,,,,,,,,,,,Owenweeksia hongkongensis DSM 17368,100.0,NC_016599.1,
fors,7,1149212,1,46.90473,,1.0,4.0,1.0,,,,1.0,,,,,,,,,,,
bermu,280,1546716,6,39.91686,22.0,4.0,196.0,26.0,21.0,,11.0,,,,,,,,,Roseovarius sp. HTCC2601 scf_1100011001367 genomic scaffold (DSM 26914 https://bacdive.dsmz.de/strain/23230),98.6,,Name note: Salipiger bermudensis (Cho and Giovannoni 2006) Wirth and Whitman 2018
hp15,184,1938863,3,63.55661,1.0,1.0,178.0,4.0,,,,,,,,,,,,Marinobacter adhaerens HP15,99.8,NC_017506.1,
b2china,190,4463149,2,172.4923,27.0,,52.0,83.0,24.0,4.0,,,,,,,,,,Pelagibacterium halotolerans B2 plasmid pPHB2,100.0,,
koree,618,5206671,6,20.61598,244.0,1.0,117.0,47.0,207.0,1.0,,,1.0,,,,,,,NZ_ATVJ01000001.1 Ponticaulis koreensis DSM 19734 G523DRAFT_scaffold00001.1_C,100.0,,TUBE SWAP?
